job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates,skill_count,salary_avg
devops engineer,Company_498,e-commerce,kolkata,"Python, Data Analysis, Statistics",senior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Medium,None,3,3.0
cyber security analyst,Company_100,it,hyderabad,"Java, Spring, Microservices",mid,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,High,Cybersecurity Essentials,3,3.0
data analyst,Company_57,telecom,delhi,"Java, Spring, Microservices",senior,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-31,Medium,Google Data Analytics Certificate,3,3.0
frontend developer,Company_91,manufacturing,chennai,"Java, Spring, Microservices",senior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-13,High,None,3,3.0
software developer,Company_114,automobile,remote,"Linux, Networking, Security",fresher,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-10,High,None,3,5.0
backend developer,Company_379,automobile,remote,"Linux, Networking, Security",senior,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Low,None,3,3.0
ml engineer,Company_139,e-commerce,pune,"JavaScript, React, HTML, CSS",fresher,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-07,Low,None,4,3.0
data scientist,Company_429,telecom,delhi,"JavaScript, React, HTML, CSS",senior,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-25,High,Certified Data Scientist,4,10.0
data scientist,Company_281,telecom,delhi,"JavaScript, React, HTML, CSS",junior,6-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-22,Low,Certified Data Scientist,4,6.0
devops engineer,Company_488,it,delhi,"AWS, Docker, Kubernetes",mid,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-21,High,None,3,6.0
product manager,Company_259,it,kolkata,"Java, Spring, Microservices",junior,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,Medium,None,3,8.0
product manager,Company_318,education,chennai,"Power BI, Excel, SQL",junior,4-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-05,Low,None,3,4.0
product manager,Company_67,e-commerce,kolkata,"Linux, Networking, Security",junior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-10,High,None,3,6.0
ml engineer,Company_223,it,bangalore,"AWS, Docker, Kubernetes",fresher,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-04,Low,None,3,3.0
cyber security analyst,Company_370,automobile,chennai,"Python, SQL, Machine Learning",senior,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-20,Low,Cybersecurity Essentials,3,5.0
cyber security analyst,Company_414,telecom,kolkata,"Java, Spring, Microservices",mid,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-02,High,Cybersecurity Essentials,3,8.0
frontend developer,Company_453,manufacturing,mumbai,"Linux, Networking, Security",fresher,3-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,Low,None,3,3.0
data analyst,Company_146,finance,mumbai,"Python, Data Analysis, Statistics",mid,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,High,Google Data Analytics Certificate,3,4.0
backend developer,Company_183,education,mumbai,"Python, Deep Learning, NLP",mid,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-18,Low,None,3,4.0
product manager,Company_34,telecom,pune,"JavaScript, React, HTML, CSS",junior,5-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-27,High,None,4,5.0
ai engineer,Company_264,finance,remote,"AWS, Docker, Kubernetes",mid,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-01,Low,None,3,8.0
backend developer,Company_108,automobile,pune,"JavaScript, React, HTML, CSS",fresher,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-24,Medium,None,4,6.0
devops engineer,Company_419,finance,hyderabad,"Python, Deep Learning, NLP",senior,5-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-03,Low,None,3,5.0
frontend developer,Company_81,finance,kolkata,"Python, Deep Learning, NLP",junior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-10,Low,None,3,7.0
software developer,Company_481,e-commerce,chennai,"Java, Spring, Microservices",junior,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-06,Low,None,3,10.0
